,Unnamed: 0,uid,id,grade,age,gender,atar,course_code,group,ese_100_percent
99,99,99,32,HD,,,,,0,96.54545454545456
100,100,100,33,HD,,,,,0,88.18181818181817
101,101,101,34,HD,,,,,0,89.45454545454545
102,102,102,35,DI,,,,,0,81.0909090909091
103,103,103,36,DI,34.0,Female,93.35,MAOCCTHE-02,0,91.8181818181818
104,104,104,37,DI,,,,,0,81.0909090909091
105,105,105,38,PS,,,,,0,67.09090909090908
106,106,106,39,PS,,,,,0,68.18181818181817
107,107,107,40,HD,,,,,0,100.0
108,108,108,41,DI,24.0,Female,89.0,MAOCCTHE-02,0,78.9090909090909
109,109,109,42,PS,,,,,0,68.18181818181817
110,110,110,43,PS,,,,,0,59.99999999999999
111,111,111,44,DI,,,,,0,87.09090909090908
112,112,112,45,CR,,,,,0,74.18181818181817
113,113,113,46,DI,,,,,0,81.0909090909091
114,114,114,47,PS,,,,,0,38.90909090909091
115,115,115,48,PS,,,,,0,63.454545454545446
116,116,116,49,DI,24.0,Female,84.35,MAOCCTHE-02,0,85.81818181818181
117,117,117,50,PS,24.0,Female,63.75,MAOCCTHE-02,0,54.18181818181818
118,118,118,51,DI,,,,,0,81.0909090909091
119,119,119,52,CR,,,,,0,65.81818181818181
120,120,120,53,HD,,,,,0,87.09090909090908
121,121,121,54,PS,,,,,0,54.18181818181818
122,122,122,55,DI,,,,,0,84.72727272727272
123,123,123,56,PS,,,,,0,50.54545454545454
124,124,124,57,DI,,,,,0,83.45454545454544
125,125,125,58,AF,,,,,0,
126,126,126,59,HD,,,,,0,92.9090909090909
127,127,127,60,CR,24.0,Female,88.5,MAOCCTHE-02,0,77.63636363636364
128,128,128,61,CR,,,,,0,70.54545454545453
129,129,129,62,DI,,,,,0,81.0909090909091
130,130,130,63,HD,24.0,Female,88.3,MAOCCTHE-02,0,91.8181818181818
131,131,131,64,HD,,,,,0,91.8181818181818
132,132,132,65,HD,,,,,0,95.27272727272728
133,133,133,66,DI,,,,,0,91.8181818181818
134,134,134,67,PS,,,,,0,42.36363636363636
135,135,135,68,DI,,,,,0,68.18181818181817
136,136,136,69,HD,,,,,0,97.63636363636364
137,137,137,70,HD,,,,,0,96.54545454545456
