,Unnamed: 0,uid,id,grade,age,gender,atar,course_code,group,ese_100_percent
75,75,75,15,HD,33.0,Male,0.0,BPSCIENC-05,0,91.58333333333334
76,76,76,16,PS,18.0,Female,79.65,BPASEXPH-02,0,47.366666666666674
77,77,77,17,FA,21.0,Male,84.6,BPASESSC-02,0,
78,78,78,18,FA,26.0,Male,84.1,BPASESSC-03,0,11.583333333333334
79,79,79,19,CR,17.0,Female,90.6,BPASESSC-03,0,57.900000000000006
80,80,80,20,PS,18.0,Female,94.75,BPASEXPH-02,0,52.63333333333333
81,81,81,21,FA,24.0,Male,0.0,BPASESSC-03,0,25.26666666666667
82,82,82,22,PS,20.0,Female,84.15,BPASESSC-03,0,53.68333333333334
83,83,83,23,FA,20.0,Male,85.35,BPASESSC-03,0,21.05
84,84,84,24,PS,18.0,Female,84.85,BPASEAVS-01,0,60.0
85,85,85,25,PS,19.0,Female,88.55,BPASEAVS-01,0,42.1
86,86,86,26,FA,18.0,Female,83.95,BPASESSC-03,0,40.0
87,87,87,27,CR,,,,,0,70.53333333333333
88,88,88,28,FA,18.0,Male,76.7,BPASEAVS-01,0,21.05
89,89,89,29,FA,20.0,Female,77.35,BPSCIENC-05,0,50.53333333333334
90,90,90,30,FA,18.0,Male,59.05,BPSCIENC-05,0,31.58333333333333
91,91,91,31,PS,20.0,Male,84.55,BPASESSC-03,0,41.05
92,92,92,32,PS,17.0,Female,77.9,BPASESSC-03,0,47.366666666666674
93,93,93,33,PS,18.0,Female,83.95,BPASESSC-03,0,44.21666666666667
94,94,94,34,PS,19.0,Female,86.7,BPASESSC-03,0,45.266666666666666
95,95,95,35,FA,20.0,Female,76.3,BPHEASCI-02,0,38.95
96,96,96,36,FA,30.0,Male,0.0,NUHSUGNA-01,0,47.366666666666674
97,97,97,37,FA,20.0,Male,89.2,BPSCIAVS-01,0,28.416666666666668
98,98,98,38,FA,17.0,Female,88.05,BPASOCTE-05,0,32.63333333333333
99,99,99,39,FA,19.0,Female,84.8,BPASESSC-03,0,24.216666666666665
100,100,100,40,CR,18.0,Female,92.65,BPASPHYS-06,0,45.266666666666666
101,101,101,41,CR,,,,,0,71.58333333333334
102,102,102,42,PS,,,,,0,48.41666666666667
103,103,103,43,FA,18.0,Male,86.25,BPASEAVS-01,0,30.53333333333333
104,104,104,44,FA,,,,,0,40.0
105,105,105,45,FA,21.0,Female,75.0,BPSCIENC-05,0,28.416666666666668
106,106,106,46,CR,20.0,Female,94.0,BPASDRAD-01,0,68.41666666666667
107,107,107,47,FA,,,,,0,26.316666666666663
108,108,108,48,FA,18.0,Male,84.65,BPASESSC-03,0,21.05
109,109,109,49,FA,18.0,Male,82.9,BPASESSC-03,0,30.53333333333333
110,110,110,50,FA,17.0,Male,88.15,BPASESSC-03,0,37.9
111,111,111,51,PS,18.0,Female,59.9,BPASPHYS-06,0,45.266666666666666
112,112,112,52,FA,18.0,Male,79.75,BPASESSC-03,0,18.95
113,113,113,53,FA,17.0,Female,83.5,BPASOCTE-05,0,31.58333333333333
114,114,114,54,PS,17.0,Female,78.0,BPASESSC-03,0,58.95
115,115,115,55,PS,18.0,Female,88.15,BPSCIENC-05,0,52.63333333333333
116,116,116,56,PS,,,,,0,50.53333333333334
117,117,117,57,FA,17.0,Male,84.8,BPASESSC-03,0,41.05
118,118,118,58,CR,18.0,Male,85.05,BPASESSC-03,0,70.53333333333333
119,119,119,59,FA,17.0,Female,78.25,BPASEAVS-01,0,44.21666666666667
120,120,120,60,FA,17.0,Male,82.6,BPASESSC-03,0,33.68333333333334
121,121,121,61,FA,,,,,0,
122,122,122,62,PS,17.0,Male,77.15,BPASESSC-03,0,60.0
123,123,123,63,FA,19.0,Female,78.9,BPASESSC-03,0,34.733333333333334
124,124,124,64,PS,18.0,Male,77.3,BPASESSC-03,0,47.366666666666674
125,125,125,65,PS,18.0,Female,89.8,BPASEXPH-02,0,53.68333333333334
126,126,126,66,FA,18.0,Female,84.8,BPASESSC-03,0,29.46666666666667
127,127,127,67,FA,18.0,Female,80.15,BPASESSC-03,0,28.416666666666668
128,128,128,68,PS,18.0,Female,95.1,BPSCIENC-05,0,53.68333333333334
129,129,129,69,PS,18.0,Male,87.55,BPASEXPH-02,0,50.53333333333334
130,130,130,70,CR,19.0,Female,80.85,BPSCIENC-05,0,47.366666666666674
131,131,131,71,FA,18.0,Male,89.9,BPASEXPH-02,0,44.21666666666667
132,132,132,72,FA,19.0,Male,67.25,BPSCIENC-05,0,32.63333333333333
133,133,133,73,FA,19.0,Female,88.3,BPASOCTE-05,0,36.85
134,134,134,74,DI,18.0,Female,88.1,BPSCIENC-05,0,77.9
135,135,135,75,FA,18.0,Female,77.25,BPSCIENC-05,0,36.85
136,136,136,76,FA,18.0,Male,73.05,BPASEAVS-01,0,43.150000000000006
137,137,137,77,FA,18.0,Male,86.25,BPASEXPH-02,0,46.31666666666667
138,138,138,78,FA,17.0,Male,88.05,BPASEXPH-02,0,37.9
139,139,139,79,FA,18.0,Male,88.25,BPASEXPH-02,0,37.9
140,140,140,80,FA,17.0,Male,81.05,BPASESSC-03,0,22.1
141,141,141,81,FA,18.0,Female,85.95,BPSCIENC-05,0,51.583333333333336
142,142,142,82,PS,17.0,Female,92.8,BPASOCTE-05,0,41.05
143,143,143,83,CR,,,,,0,67.36666666666667
144,144,144,84,DI,20.0,Male,93.6,BPASDRAD-01,0,73.68333333333334
145,145,145,85,DI,18.0,Female,92.8,BPASOCTE-05,0,72.63333333333334
